Item_id,Category,Item_Name,Price,description,image,available,image_width,image_height,image_size_kb
97,Snacks,Aloo Bonda,,"morning, evening",https://ts1.mm.bing.net/th?id=OIP.8il7FjFKzqO5y1s6527NywAAAA&pid=15.1,True,420,420,32.9
98,Snacks,Vazhakkai Bajji,,"morning, evening",https://www.subbuskitchen.com/wp-content/uploads/2019/06/Vazhakkai-Bajji_final1-1024x681-400x400.jpg,True,400,400,30.2
99,Snacks,Chilli Bajji,,"morning, evening",https://ts1.mm.bing.net/th?id=OIP.9yuGOnJqGvzPlFA3oY2-NgAAAA&pid=15.1,True,474,474,58.5
100,Snacks,Onion Bajji,,"morning, evening",https://ts1.mm.bing.net/th?id=OIP.sQNueOxwP_bPia-KzehgNAAAAA&pid=15.1,True,400,400,42.0
101,Snacks,Potato Bajji,,"morning, evening",https://ts4.explicit.bing.net/th?id=OIP.JFz-gaeqz-U8JXhWWIjBJQAAAA&pid=15.1,True,360,480,37.5
102,Snacks,Onion Pakoda,,"morning, evening",https://ts3.mm.bing.net/th?id=OIP.z2nLGp8OFmJtTuE_03RfrQAAAA&pid=15.1,True,474,474,51.9
103,Snacks,Peanuts / Channa,,anytime,https://shopgulab.com/wp-content/uploads/2019/10/gulab-combo-peanut-chana-8-450x450.png,True,450,450,48.4
104,Snacks,Sweet Kesari,,anytime,https://cdn.shopify.com/s/files/1/0510/9556/8581/files/rava_kesari_480x480.jpg?v=1690798226,True,480,480,89.7
105,Snacks,Badusha,,anytime,https://www.subbuskitchen.com/wp-content/uploads/2015/10/Badusha_finalforweb4-400x400.jpg,True,400,400,41.7
106,Snacks,Cake,,anytime,https://ts3.mm.bing.net/th?id=OIP.iSdcqS16W4oCcmD8F7FOmQHaGS&pid=15.1,True,474,402,22.8
107,Snacks,Gulab Jamun,,anytime,https://tzmedia.b-cdn.net/media/images/component/cuisine/cover/0ad332eb3701a2ee717cbf8203ddb3f0.jpg,True,600,504,86.8
108,Snacks,Pakoda,,"morning, evening",https://www.indianhealthyrecipes.com/wp-content/uploads/2022/02/vegetable-pakora-recipe-500x500.jpg,True,500,500,61.6
109,Dosa/Prata,BUN Prata,,"evening, night",https://c1.staticflickr.com/3/2806/34257467046_6e76b97b9b_b.jpg,True,1024,683,268.8
110,Dosa/Prata,Dosa Plain,,"morning, evening, night",https://ts4.mm.bing.net/th?id=OIP.PN7iHJmUOl9NitBhl011tgAAAA&pid=15.1,True,474,474,57.2
111,Dosa/Prata,Egg Dosa,,"morning, evening, night",https://ts1.mm.bing.net/th?id=OIP.BENTW0n1nSGpsRNuYdHAygAAAA&pid=15.1,True,360,360,31.0
112,Dosa/Prata,Onion Dosa,,"morning, evening, night",https://ts1.mm.bing.net/th?id=OIP.x2VD-UrZkw3CJ_KI5e6KigAAAA&pid=15.1,True,472,472,42.9
113,Dosa/Prata,Masala Dosa,,"morning, evening, night",https://yummyindiankitchen.com/wp-content/uploads/2016/02/Masala-Dosa.jpg,True,700,525,124.7
114,Dosa/Prata,Podi Dosa,,"morning, evening, night",https://ts4.mm.bing.net/th?id=OIP.NSLGovy799QOyCnm1hRcjwHaHa&pid=15.1,True,474,474,28.4
115,Dosa/Prata,Ghee Roast Dosa,,"morning, evening, night",https://ts2.mm.bing.net/th?id=OIP.65IrHxnhjT8p-ERGJMj_FQAAAA&pid=15.1,True,420,420,17.5
116,Dosa/Prata,Onion Roast Dosa,,"morning, evening, night",https://cdn.uengage.io/uploads/6327/image-619461-1648964865.jpeg,True,400,400,32.4
117,Dosa/Prata,Egg Roast Dosa,,"morning, evening, night",https://yummyindiankitchen.com/wp-content/uploads/2018/02/egg-dosa-recipe-320x320.jpg,True,320,320,19.3
118,Dosa/Prata,Plain Roast Dosa,,"morning, evening, night",https://ts4.mm.bing.net/th?id=OIP.GzRe8XcqusNjrUIctoPGBwAAAA&pid=15.1,True,300,300,18.0
119,Dosa/Prata,Curry Dosa,,"morning, evening, night",https://media.istockphoto.com/id/2153019293/vector/south-indian-curry-dosa.jpg?s=170667a&w=0&k=20&c=rYpGORgyE6icBOiscNn3xjtTm5GCQqMZ2gLBY_QmVlM=,True,479,359,38.2
120,Dosa/Prata,Ragi Dosa,,"morning, evening, night",https://ts2.mm.bing.net/th?id=OIP._zt5ICl00d6th50pu-M8ZAAAAA&pid=15.1,True,474,474,44.6
121,Dosa/Prata,Raagi Idly,,anytime,https://ts4.mm.bing.net/th?id=OIP.NLhZf6hjAs0lScQXTUps9QHaHa&pid=15.1,True,474,474,35.2
122,Drinks,Tea,,anytime,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/afternoon_tea_sandwiches-25ebaad.jpg?resize=960,872?quality=90&resize=556,505",True,400,400,30.1
123,Drinks,Teh O,,anytime,https://www.ayamgepuktopglobal.my/wp-content/uploads/2024/01/teh-o-panas.jpg,True,400,400,40.8
124,Drinks,Teh Halia,,anytime,https://munchmalaysia.com/wp-content/uploads/2023/07/9GAG.jpg,True,460,434,38.3
125,Drinks,Teh C,,anytime,https://ikanmas.in/wp-content/uploads/2022/08/TehCSpecial-400x400.jpg,True,400,400,39.6
126,Drinks,Fresh Ice Lemon Tea,,anytime,https://rakskitchen.net/wp-content/uploads/2014/06/14141641837_b528fd2d55_z-500x500.jpg,True,500,500,45.6
127,Drinks,Hot Lemon Tea,,anytime,https://i.pinimg.com/originals/5c/3b/14/5c3b1482b5a3a049c34f5212770a1a34.jpg,True,480,427,17.7
128,Drinks,Teh Ice,,anytime,https://www.errenskitchen.com/wp-content/uploads/2014/08/lemon-Iced-Tea-500x500.jpg,True,500,500,43.5
129,Drinks,Teh O Ice,,anytime,https://ts4.mm.bing.net/th?id=OIP.Wx0iRFYgPmFMmUX_yTIwJAAAAA&pid=15.1,True,400,400,18.4
130,Drinks,Coffee,,anytime,https://thejigsawpuzzles.com/img-puzzle-6365010-1024/coffee,True,1024,745,331.3
131,Drinks,Kopi O,,anytime,https://beecoffee.com.my/wp-content/uploads/2020/09/Economy-BEE-2in1-Kopi-O-480x480.png,True,480,480,166.3
132,Drinks,Bru / Nescafe Coffee,,anytime,https://i0.wp.com/pediaa.com/wp-content/uploads/2020/10/Difference-Between-Bru-and-Nescafe-Comparison-Summary.jpg?resize=475%2C481&ssl=1,True,475,481,47.0
133,Drinks,Horlicks,,anytime,https://ts3.mm.bing.net/th?id=OIP.8BTbNhZQghtSZzZ_LtlwmgAAAA&pid=15.1,True,474,358,36.9
134,Drinks,Boost,,anytime,https://nurturemygut.com/wp-content/uploads/2021/01/10-Naturally-Immune-Boosting-Foods.png,True,825,550,197.9
135,Drinks,Milo,,anytime,https://caribbeanchoicevarieties.com/wp-content/uploads/2020/12/NestleMiloEnergyFoodDrink700g.png,True,403,496,246.4
136,Drinks,Milo Ice,,anytime,https://cdn.store-assets.com/s/402748/i/48681451.jpeg,True,480,480,93.6
137,Drinks,Tea Small Cup,,anytime,https://i.pinimg.com/originals/36/21/60/362160534703d4814db8fbe58da07211.png,True,360,360,69.2
138,Drinks,Sukku Coffee,,anytime,https://traditionallymodernfood.com/wp-content/uploads/2022/11/sukku-coffee-sukku-malli-kaapi-20-360x361.jpeg,True,360,361,31.9
139,Drinks,Red Bull,,anytime,https://assets.wakefern.com/is/image/wakefern/61126942672-024?$Mi9Product_detail$,True,500,500,204.8
140,Drinks,Tin Cool Drinks,,anytime,https://pngpix.com/images/hd/assorted-popular-cold-drinks-collection-ip1ox79ajvmhg642.jpg,True,322,316,215.4
141,Drinks,Bottle Drinks,,anytime,https://www.lidl.pt/static/assets/sz0375-FoodINBottle-1273640.png,True,375,375,209.8
142,Drinks,POKKA Coffee,,anytime,https://ts1.mm.bing.net/th?id=OIP.ioaqE-paSIQoNEye7Yl-iwHaHa&pid=15.1,True,474,474,21.4
143,Drinks,Big Bottle Drink,,anytime,https://www.kroger.com/product/images/large/front/0007181700021,True,500,500,18.7
144,Drinks,Water Bottle,,anytime,https://ts2.mm.bing.net/th?id=OIP.lwN-kXnWV7sBx8BZfqN-CwAAAA&pid=15.1,True,400,400,31.4
145,Drinks,Big Water Bottle,,anytime,https://www.chillys.com/cdn/shop/files/2_f96229cf-1900-4d49-b2cb-c7a4d2a92443.png?v=1745409342&width=400,True,400,471,332.0
146,Drinks,Lassi,,anytime,https://ts4.mm.bing.net/th?id=OIP.kI0vgoyFIr7O2UlxQCLWDAHaHa&pid=15.1,True,474,474,23.5
147,Drinks,Badam Milk,,anytime,https://ts3.mm.bing.net/th?id=OIP.Atz8JthM0myDUecnAr7tpQAAAA&pid=15.1,True,474,474,64.7
148,Drinks,Fresh Rose Milk,,anytime,https://www.spiceupthecurry.com/wp-content/uploads/2023/04/rose-milk-recipe-3-500x500.jpg,True,500,500,36.9
149,Drinks,Sarbath,,"morning, noon",https://www.plattershare.com/storage/2021/09/5aa294ee064ef-375x375.jpg,True,375,375,31.5
150,Drinks,Bangla Drink,,anytime,https://2.bp.blogspot.com/-D6hPD7eeA20/VPXBreWh8gI/AAAAAAAADk0/bzjNWWnHcc4/s1600/Milkshake%2Bof%2Bstrawberry.png,True,337,493,133.8
151,Drinks,Energy Drink Tiger,,anytime,https://ts4.mm.bing.net/th?id=OIP.7uuJ9-T1ftFoluwdFxZn8AHaHa&pid=15.1,True,474,474,20.0
